,Coordinates
252,"(32.73734060000001, -101.32901759999999)"
253,"(32.73734060000001, -101.08377939999998)"
254,"(32.73734060000001, -100.83854119999998)"
255,"(32.73734060000001, -100.59330299999998)"
256,"(32.73734060000001, -100.34806479999997)"
257,"(32.73734060000001, -100.10282659999997)"
258,"(32.49210240000001, -99.85758839999997)"
259,"(32.49210240000001, -99.61235019999997)"
260,"(32.49210240000001, -99.36711199999996)"
261,"(32.49210240000001, -99.12187379999996)"
262,"(32.49210240000001, -98.87663559999996)"
263,"(32.49210240000001, -98.63139739999995)"
264,"(32.49210240000001, -98.38615919999995)"
265,"(32.49210240000001, -98.14092099999995)"
266,"(32.49210240000001, -97.89568279999995)"
267,"(32.49210240000001, -97.65044459999994)"
268,"(32.49210240000001, -97.40520639999994)"
269,"(32.49210240000001, -97.15996819999994)"
270,"(32.49210240000001, -96.91472999999993)"
271,"(32.49210240000001, -96.66949179999993)"
272,"(32.49210240000001, -96.42425359999993)"
273,"(32.49210240000001, -96.17901539999993)"
274,"(32.49210240000001, -95.93377719999992)"
275,"(32.49210240000001, -95.68853899999992)"
276,"(32.49210240000001, -95.44330079999992)"
277,"(32.49210240000001, -95.19806259999991)"
278,"(32.49210240000001, -102.5552086)"
279,"(32.49210240000001, -102.3099704)"
280,"(32.49210240000001, -102.0647322)"
281,"(32.49210240000001, -101.81949399999999)"
282,"(32.49210240000001, -101.57425579999999)"
283,"(32.49210240000001, -101.32901759999999)"
284,"(32.49210240000001, -101.08377939999998)"
285,"(32.49210240000001, -100.83854119999998)"
286,"(32.49210240000001, -100.59330299999998)"
287,"(32.49210240000001, -100.34806479999997)"
288,"(32.49210240000001, -100.10282659999997)"
289,"(32.246864200000005, -99.85758839999997)"
290,"(32.246864200000005, -99.61235019999997)"
291,"(32.246864200000005, -99.36711199999996)"
292,"(32.246864200000005, -99.12187379999996)"
293,"(32.246864200000005, -98.87663559999996)"
294,"(32.246864200000005, -98.63139739999995)"
295,"(32.246864200000005, -98.38615919999995)"
296,"(32.246864200000005, -98.14092099999995)"
297,"(32.246864200000005, -97.89568279999995)"
298,"(32.246864200000005, -97.65044459999994)"
299,"(32.246864200000005, -97.40520639999994)"
300,"(32.246864200000005, -97.15996819999994)"
301,"(32.246864200000005, -96.91472999999993)"
302,"(32.246864200000005, -96.66949179999993)"
303,"(32.246864200000005, -96.42425359999993)"
304,"(32.246864200000005, -96.17901539999993)"
305,"(32.246864200000005, -95.93377719999992)"
306,"(32.246864200000005, -95.68853899999992)"
307,"(32.246864200000005, -95.44330079999992)"
